OK example19-e21-single-1-3x7: expected=PASS observed=PASS; windows=63; codewords=3; zero=0; duplicates=0; missing=0; seconds=0.000394
OK degree8-e85-pair-2-5: expected=PASS observed=PASS; windows=65535; codewords=771; zero=0; duplicates=0; missing=0; seconds=0.418128
OK degree8-e85-pair-2-6: expected=PASS observed=PASS; windows=65535; codewords=771; zero=0; duplicates=0; missing=0; seconds=0.456582
OK degree8-e85-pair-2-7: expected=PASS observed=PASS; windows=65535; codewords=771; zero=0; duplicates=0; missing=0; seconds=0.468494
OK degree8-e85-pair-2-8: expected=PASS observed=PASS; windows=65535; codewords=771; zero=0; duplicates=0; missing=0; seconds=0.377358
OK degree8-e85-pair-3-4: expected=PASS observed=PASS; windows=65535; codewords=771; zero=0; duplicates=0; missing=0; seconds=0.385403
OK degree8-e85-pair-3-5: expected=PASS observed=PASS; windows=65535; codewords=771; zero=0; duplicates=0; missing=0; seconds=0.399716
OK degree8-e85-pair-3-6: expected=PASS observed=PASS; windows=65535; codewords=771; zero=0; duplicates=0; missing=0; seconds=0.499419
OK degree8-e85-pair-3-7: expected=PASS observed=PASS; windows=65535; codewords=771; zero=0; duplicates=0; missing=0; seconds=0.453189
OK degree8-e85-pair-3-8: expected=PASS observed=PASS; windows=65535; codewords=771; zero=0; duplicates=0; missing=0; seconds=0.471148
OK degree8-e85-pair-4-5: expected=PASS observed=PASS; windows=65535; codewords=771; zero=0; duplicates=0; missing=0; seconds=0.486665
OK degree8-e85-pair-4-6: expected=PASS observed=PASS; windows=65535; codewords=771; zero=0; duplicates=0; missing=0; seconds=0.437912
OK degree8-e85-pair-4-7: expected=PASS observed=PASS; windows=65535; codewords=771; zero=0; duplicates=0; missing=0; seconds=0.457691
OK degree8-e85-pair-4-8: expected=PASS observed=PASS; windows=65535; codewords=771; zero=0; duplicates=0; missing=0; seconds=0.414412
OK degree8-e85-pair-5-6: expected=PASS observed=PASS; windows=65535; codewords=771; zero=0; duplicates=0; missing=0; seconds=0.433932
OK degree8-e85-pair-5-7: expected=PASS observed=PASS; windows=65535; codewords=771; zero=0; duplicates=0; missing=0; seconds=0.544494
OK degree8-e85-pair-5-8: expected=PASS observed=PASS; windows=65535; codewords=771; zero=0; duplicates=0; missing=0; seconds=0.450603
OK degree8-e85-pair-6-7: expected=PASS observed=PASS; windows=65535; codewords=771; zero=0; duplicates=0; missing=0; seconds=0.414639
OK degree8-e85-pair-6-8: expected=PASS observed=PASS; windows=65535; codewords=771; zero=0; duplicates=0; missing=0; seconds=0.446143
OK degree8-e85-pair-7-8: expected=PASS observed=PASS; windows=65535; codewords=771; zero=0; duplicates=0; missing=0; seconds=0.500887

OVERALL: PASS
cases=45
json_sha256_pending=hash the completed calibration.json externally
